,HDI in 2000,Sugar in 2000,Gas in 2000
Afghanistan,0.23,,
Albania,0.691,65.75,0.569999993
Algeria,0.624,82.19,0.270000011
American Samoa,,,
Andorra,,,
Angola,0.384,27.4,0.300000012
Antigua and Barbuda,,93.15,0.560000002
Argentina,0.749,128.77,1.070000052
Armenia,0.643,54.8,0.550000012
Aruba,,,
Australia,0.906,123.29,0.569999993
Austria,0.839,126.03,0.819999993
Azerbaijan,,27.4,
Bahamas,0.752,117.81,
Bahrain,0.773,,0.270000011
Bangladesh,0.422,16.44,0.460000008
Barbados,,147.95,0.949999988
Belarus,,104.11,
Belgium,0.876,161.64,0.959999979
Belize,0.668,147.95,
Benin,0.378,13.7,0.479999989
Bermuda,,131.51,
Bhutan,,,0.579999983
Bolivia,0.612,76.71,0.800000012
Bosnia and Herzegovina,,49.32,0.680000007
Botswana,0.585,65.75,0.419999987
Brazil,0.665,153.43,0.920000017
Brunei,0.818,84.93,0.330000013
Bulgaria,0.715,76.71,0.699999988
Burkina Faso,,8.22,0.680000007
Burundi,0.245,10.96,1.00999999
Cambodia,0.438,19.18,0.610000014
Cameroon,0.427,24.66,0.560000002
Canada,0.879,145.21,0.579999983
Cape Verde,0.523,112.33,0.589999974
Cayman Islands,,,
Chad,0.286,19.18,0.680000007
Channel Islands,,,
Chile,0.749,126.03,0.639999986
China,0.588,16.44,0.400000006
Colombia,0.652,136.99,0.49000001
Comoros,,8.22,
"Congo, Dem. Rep.",0.224,5.48,1.0
"Congo, Rep.",0.478,24.66,0.529999971
Costa Rica,0.703,153.43,0.649999976
Cote d'Ivoire,0.374,24.66,0.75999999
Croatia,0.748,123.29,0.75999999
Cuba,0.681,178.08,
Cyprus,0.8,123.29,0.569999993
Denmark,0.861,145.21,1.00999999
Djibouti,,73.97,1.049999952
Dominica,0.699,104.11,
Ecuador,0.668,134.25,0.310000002
Egypt,0.585,84.93,0.25999999
El Salvador,0.619,109.59,0.670000017
Equatorial Guinea,0.488,,
Eritrea,,5.48,0.560000002
Estonia,0.776,147.95,0.600000024
Ethiopia,0.274,10.96,0.460000008
Faeroe Islands,,,
Fiji,0.668,76.71,
Finland,0.837,104.11,1.059999943
France,0.846,106.85,0.99000001
French Polynesia,,76.71,
